Player ,RushYds,Att,TD
Cam Newton,754,139,6
Russell Wilson,586,95,3
Tyrod Taylor,427,84,4
Deshone Kizer,419,77,5
Dak Prescott,357,57,6
Alex Smith,355,60,1
Blake Bortles,322,57,2
Marcus Mariota,312,60,5
Carson Wentz,299,64,0
Deshaun Watson,269,36,2
Jacoby Brissett,260,63,4
Mitch Trubisky,248,41,2
Kirk Cousins,179,49,4
Case Keenum,160,40,1
Matt Ryan,143,32,0
Jameis Winston,135,33,1
Trevor Siemian,127,31,1
Aaron Rodgers,126,24,0
Josh McCown,124,37,5
Andy Dalton,99,38,0
Matthew Stafford,98,29,0
Blaine Gabbert,82,22,0
Ryan Fitzpatrick,78,15,0
Kevin Hogan,71,10,0
Derek Carr,66,23,0
Brock Osweiler,64,14,1
Joe Flacco,54,25,1
Jared Goff,51,28,1
Ben Roethlisberger,47,28,0
